Timestep,NormalizedN,RadiusX,RadiusY,RadiusZ,RadiusZStd,VelocityZ
225,0.9595,9.656,9.2037,8.2269,1.6029,-3.9925
226,0.958,9.6446,9.2153,8.1033,1.5877,-3.9901
227,0.9575,9.6457,9.2359,7.9701,1.5925,-3.9859
228,0.9575,9.6632,9.2543,7.8237,1.595,-3.9778
229,0.9575,9.676,9.2867,7.6607,1.5936,-3.9676
230,0.957,9.6985,9.3505,7.4778,1.575,-3.9551
231,0.957,9.7347,9.4198,7.2798,1.5527,-3.9415
232,0.957,9.7598,9.4757,7.1147,1.5335,-3.9276
233,0.957,9.7872,9.5209,6.9255,1.5185,-3.9134
234,0.957,9.8294,9.5508,6.7098,1.508,-3.9006
235,0.957,9.8731,9.553,6.6655,1.5012,-3.8894
236,0.957,9.9131,9.5392,6.6135,1.4882,-3.8803
237,0.957,9.9335,9.5297,6.5557,1.4873,-3.8742
238,0.957,9.9321,9.5276,6.4988,1.4718,-3.8707
239,0.957,9.9165,9.5244,6.4426,1.4502,-3.8699
240,0.957,9.8845,9.5165,6.3848,1.4385,-3.8714
241,0.957,9.8614,9.5201,6.3221,1.4501,-3.8747
242,0.957,9.8355,9.5346,6.2665,1.4654,-3.8792
243,0.957,9.805,9.5514,6.2206,1.4817,-3.8843
244,0.957,9.7586,9.5928,6.181,1.4984,-3.8896
245,0.957,9.7078,9.645,6.1748,1.5042,-3.8943
246,0.957,9.6697,9.686,6.1967,1.4996,-3.8978
247,0.957,9.6593,9.7098,6.2354,1.5051,-3.8996
248,0.957,9.6559,9.7287,6.2874,1.5197,-3.8996
249,0.957,9.6641,9.7527,6.3523,1.5245,-3.8977
250,0.957,9.6732,9.7651,6.431,1.5293,-3.8938
251,0.957,9.7025,9.7541,6.5096,1.5373,-3.8879
252,0.957,9.759,9.733,6.584,1.548,-3.8804
253,0.957,9.8349,9.7033,6.6573,1.5457,-3.8714
254,0.957,9.9053,9.6665,6.7015,1.5363,-3.862
255,0.957,9.9544,9.6407,6.7215,1.5227,-3.8525
256,0.957,9.9987,9.6399,6.7235,1.511,-3.8434
257,0.957,10.05,9.6441,6.712,1.4984,-3.8351
258,0.957,10.104,9.643,6.6903,1.4917,-3.8282
259,0.957,10.159,9.6469,6.6615,1.484,-3.8227
260,0.957,10.215,9.665,6.6314,1.477,-3.8188
261,0.957,10.254,9.6918,6.6057,1.467,-3.8164
262,0.957,10.277,9.7135,6.5856,1.4605,-3.8153
263,0.957,10.283,9.7511,6.5724,1.4529,-3.8155
264,0.957,10.291,9.7885,6.5672,1.4527,-3.8167
265,0.957,10.293,9.8125,6.5712,1.4496,-3.8181
266,0.957,10.278,9.8226,6.5853,1.4453,-3.8194
267,0.957,10.261,9.827,6.61,1.4368,-3.82
268,0.957,10.232,9.8393,6.6457,1.4278,-3.8193
269,0.957,10.196,9.856,6.6891,1.4343,-3.817
270,0.957,10.172,9.873,6.736,1.4429,-3.813
271,0.957,10.161,9.8963,6.7861,1.4462,-3.8072
272,0.957,10.164,9.9274,6.8391,1.4491,-3.8
273,0.957,10.163,9.9652,6.8944,1.4511,-3.7919
274,0.957,10.144,10.008,6.9521,1.4597,-3.7839
275,0.957,10.129,10.049,7.0123,1.4664,-3.7765
276,0.957,10.12,10.079,7.0754,1.4701,-3.77
277,0.957,10.129,10.087,7.1422,1.4765,-3.7654
278,0.957,10.126,10.103,7.2138,1.4813,-3.7625
279,0.957,10.093,10.124,7.2913,1.4917,-3.7618
280,0.957,10.03,10.133,7.3764,1.492,-3.7633
281,0.957,9.9882,10.109,7.4706,1.4851,-3.7665
282,0.957,9.9722,10.053,7.5753,1.4862,-3.7707
283,0.957,9.9699,9.9962,7.6919,1.4747,-3.7748
284,0.957,9.9895,9.955,7.8215,1.4634,-3.7781
285,0.957,10.014,9.9311,7.6899,1.4586,-3.78
286,0.957,10.027,9.9147,7.5376,1.4585,-3.7801
287,0.957,10.053,9.8727,7.3615,1.4667,-3.7783
288,0.957,10.092,9.8335,7.1719,1.4746,-3.7747
289,0.9565,10.146,9.8167,6.9936,1.4724,-3.7694
290,0.9565,10.183,9.8285,6.8177,1.4708,-3.7628
291,0.9565,10.213,9.8774,6.6366,1.4635,-3.7539
292,0.9565,10.265,9.9312,6.4444,1.4454,-3.7434
293,0.9565,10.31,9.9718,6.2359,1.423,-3.7314
294,0.9565,10.351,9.998,6.282,1.4063,-3.7183
295,0.9565,10.405,10.02,6.3391,1.3974,-3.7049
296,0.9565,10.462,10.068,6.4081,1.3941,-3.6909
297,0.9565,10.522,10.109,6.4766,1.3889,-3.6772
298,0.9565,10.601,10.143,6.518,1.3868,-3.6643
299,0.9565,10.682,10.173,6.5397,1.38,-3.6531
300,0.9565,10.749,10.188,6.5476,1.3668,-3.6441
301,0.9565,10.786,10.177,6.5466,1.3531,-3.6377
302,0.9565,10.793,10.157,6.5406,1.3345,-3.6343
303,0.9565,10.772,10.149,6.5328,1.3164,-3.6336
304,0.9565,10.744,10.142,6.5261,1.3081,-3.6358
305,0.9565,10.71,10.112,6.5225,1.3103,-3.6406
306,0.9565,10.676,10.082,6.5235,1.3195,-3.6475
307,0.9565,10.64,10.043,6.5303,1.3325,-3.6564
308,0.9565,10.603,10.008,6.5434,1.3509,-3.6665
309,0.9565,10.565,9.977,6.5631,1.3801,-3.6771
310,0.9565,10.512,9.9458,6.5894,1.4065,-3.6876
311,0.9565,10.474,9.9243,6.6219,1.4235,-3.6972
312,0.9565,10.47,9.928,6.6601,1.4303,-3.7051
313,0.9565,10.462,9.9587,6.7031,1.429,-3.7112
314,0.9565,10.45,10.004,6.7502,1.4282,-3.7145
315,0.9565,10.44,10.046,6.8005,1.4374,-3.7157
316,0.9565,10.43,10.092,6.8537,1.4498,-3.7142
317,0.9565,10.422,10.148,6.9097,1.4578,-3.7102
318,0.9565,10.435,10.22,6.9686,1.4613,-3.7042
319,0.9565,10.481,10.309,7.0305,1.464,-3.6962
320,0.9565,10.528,10.387,7.096,1.4689,-3.6871
321,0.9565,10.562,10.424,7.1659,1.4652,-3.6778
322,0.9565,10.584,10.449,7.2413,1.4598,-3.6691
323,0.9565,10.621,10.486,7.3234,1.452,-3.6617
324,0.9565,10.663,10.531,7.4136,1.4397,-3.6557
325,0.9565,10.695,10.568,7.513,1.4281,-3.6513
326,0.9565,10.716,10.577,7.623,1.4153,-3.6483
327,0.9565,10.713,10.563,7.745,1.4114,-3.6464
328,0.9565,10.686,10.538,7.7662,1.4134,-3.6449
329,0.9565,10.667,10.522,7.7919,1.4075,-3.6433
330,0.9565,10.649,10.509,7.8217,1.4,-3.6415
331,0.9565,10.635,10.475,7.8549,1.3936,-3.6392
332,0.956,10.613,10.423,7.8912,1.3788,-3.6365
333,0.956,10.602,10.365,7.93,1.3784,-3.6329
334,0.956,10.599,10.32,7.9709,1.3825,-3.6284
335,0.956,10.605,10.286,7.9123,1.3848,-3.6227
336,0.956,10.614,10.256,7.849,1.396,-3.6156
337,0.956,10.627,10.231,7.8941,1.4015,-3.6074
338,0.956,10.633,10.225,7.9425,1.3944,-3.5981
339,0.9555,10.658,10.239,7.9948,1.3724,-3.588
340,0.9555,10.715,10.272,8.0519,1.3613,-3.5771
341,0.9555,10.782,10.313,8.0666,1.3445,-3.5656
342,0.9555,10.838,10.353,8.0798,1.3264,-3.5539
343,0.9555,10.885,10.386,8.0924,1.3165,-3.5424
344,0.9555,10.936,10.433,8.1437,1.3182,-3.5316
345,0.955,10.999,10.499,8.1979,1.3077,-3.5225
346,0.955,11.06,10.569,8.2566,1.3036,-3.5154
347,0.955,11.103,10.63,8.008,1.3045,-3.5106
348,0.9545,11.128,10.69,7.7424,1.2962,-3.5084
349,0.9545,11.125,10.743,7.4595,1.2904,-3.5088
350,0.9545,11.092,10.768,7.2064,1.2755,-3.5116
351,0.954,11.048,10.767,6.942,1.2566,-3.5168
352,0.954,11,10.765,6.6652,1.2613,-3.5232
353,0.954,10.95,10.749,6.4373,1.2748,-3.5305
354,0.954,10.894,10.719,6.1977,1.2976,-3.5377
355,0.954,10.842,10.676,5.9445,1.3262,-3.5442
356,0.954,10.828,10.626,5.9884,1.3521,-3.5493
357,0.954,10.825,10.574,6.0385,1.3665,-3.5525
358,0.954,10.831,10.536,6.0939,1.3718,-3.5536
359,0.954,10.852,10.528,6.1539,1.373,-3.5524
360,0.954,10.869,10.557,6.2177,1.3716,-3.5491
361,0.954,10.877,10.596,6.2849,1.3734,-3.5439
362,0.954,10.87,10.63,6.3549,1.3751,-3.5372
363,0.954,10.877,10.673,8.383,1.3723,-3.5292
364,0.954,10.896,10.724,8.4564,1.3676,-3.5205
365,0.954,10.912,10.78,8.5325,1.3626,-3.5113
366,0.954,10.928,10.844,8.6114,1.3502,-3.5021
367,0.954,10.94,10.903,8.6938,1.4364,-3.5106
368,0.9535,10.94,10.957,8.7802,1.3232,-3.478
369,0.9535,10.933,10.999,8.8714,1.3146,-3.4724
370,0.9535,10.946,11.036,8.9682,1.3071,-3.4651
371,0.9535,10.998,11.078,9.0716,1.3027,-3.4577
372,0.9535,11.154,11.111,7.2273,1.2979,-3.4509
373,0.9535,11.363,11.137,7.3484,1.2967,-3.4447
374,0.9535,11.607,11.137,7.4788,1.2919,-3.4389
375,0.9535,11.879,11.139,7.6195,1.282,-3.4337
376,0.954,12.172,11.143,7.7716,1.275,-3.4284
377,0.954,12.474,11.139,7.7719,1.2662,-3.4241
378,0.954,12.773,11.128,7.774,1.2611,-3.4202
379,0.954,13.035,11.122,7.778,1.2587,-3.4169
380,0.954,13.225,11.109,7.7839,1.2532,-3.414
381,0.9535,13.249,11.105,7.7913,1.2361,-3.4115
382,0.9535,13.159,11.12,7.801,1.2356,-3.4093
383,0.9535,12.965,11.162,7.9035,1.2364,-3.4071
384,0.9535,12.723,11.198,7.9188,1.2323,-3.4051
385,0.9535,12.466,11.223,7.8781,1.2343,-3.4032
386,0.9535,12.21,11.243,8.006,1.2399,-3.4014
387,0.9535,11.967,11.27,8.0134,1.2505,-3.3999
388,0.953,11.754,11.281,8.0225,1.2531,-3.3988
389,0.9525,11.578,11.303,8.0335,1.2574,-3.3975
390,0.9525,11.443,11.319,8.0468,1.2713,-3.3963
391,0.952,11.368,11.319,8.0625,1.2776,-3.3955
392,0.952,11.348,11.294,7.9907,1.2819,-3.3949
393,0.952,11.328,11.261,8.0006,1.2798,-3.3942
394,0.952,11.284,11.23,7.9151,1.2782,-3.3934
395,0.952,11.217,11.199,7.8158,1.2809,-3.3924
396,0.952,11.146,11.159,7.8387,1.2778,-3.3911
397,0.9515,11.063,11.135,7.862,1.2684,-3.3896
398,0.9505,11.002,11.113,7.8856,1.2563,-3.388
